"caja","mesa"
"CVB-038","04"
"CVB-039","06"
"CVB-040","02"
"CVB-041","07"
"CVB-042","06"
"CVB-043","02"
"CVB-044","05"
"CVB-045","01"
"CVB-046","08"
"CVB-047","04"
"CVB-048","02"
"CVB-049","07"
"CVB-050","01"
"CVB-051","02"
"CVB-052","07"
"CVB-053","05"
"CVB-054","04"
"CVB-055","08"
"CVB-056","02"
"CVB-057","06"
"CVB-058","01"
"CVB-059","07"
"CVB-060","06"
"CVB-061","03"
"CVB-062","04"
"CVB-063","04"
"CVB-064","06"
"CVB-065","08"
"CVB-066","08"
"CVB-067","03"
"CVB-068","08"
"CVB-069","03"
"CVB-070","03"
"CVB-071","07"
"CVB-072","03"
"CVB-073","04"
"CVB-074","03"
"CVB-075","04"
"CVB-076","02"
"CVB-077","05"
"CVB-078","05"
"CVB-079","08"
"CVB-080","05"
"CVB-081","07"
"CVB-082","03"
"CVB-083","03"
"CVB-084","04"
"CVB-085","02"
"CVB-086","02"
"CVB-087","04"
"CVB-088","06"
"CVB-089","01"
"CVB-090","07"
"CVB-091","05"
"CVB-092","04"
"CVB-093","01"
"CVB-094","05"
"CVB-095","08"
"CVB-096","01"
"CVB-097","01"
"CVB-098","03"
"CVB-099","02"
"CVB-100","01"
"CVB-101","01"
"CVB-102","08"
"CVB-103","08"
"CVB-104","08"
"CVB-105","01"
"CVB-106","03"
"CVB-107","05"
"CVB-108","08"
"CVB-109","05"
"CVB-110","06"
"CVB-111","01"
"CVB-112","05"
"CVB-113","04"
"CVB-114","04"
"CVB-115","07"
"CVB-116","04"
"CVB-117","02"
"CVB-118","03"
"CVB-119","03"
"CVB-120","01"
"CVB-121","08"
"CVB-122","07"
"CVB-123","02"
"CVB-124","04"
"CVB-125","03"
"CVB-126","04"
"CVB-127","08"
"CVB-128","02"
"CVB-129","04"
"CVB-130","02"
"CVB-131","06"
"CVB-132","01"
"CVB-133","02"
"CVB-134","02"
"CVB-135","06"
"CVB-136","01"
"CVB-137","02"
"CVB-138","06"
"CVB-139","01"
"CVB-140","04"
"CVB-141","06"
"CVB-142","08"
"CVB-143","06"
"CVB-144","01"
"CVB-145","07"
"CVB-146","06"
"CVB-147","08"
"CVB-148","06"
"CVB-149","08"
"CVB-150","04"
"CVB-151","08"
"CVB-152","08"
"CVB-153","06"
"CVB-154","07"
"CVB-155","03"
"CVB-156","03"
"CVB-157","01"
"CVB-158","03"
"CVB-159","04"
"CVB-160","05"
"CVB-161","06"
"CVB-162","03"
"CVB-163","06"
"CVB-164","04"
"CVB-165","07"
"CVB-166","06"
"CVB-167","05"
"CVB-168","02"
"CVB-169","04"
"CVB-170","05"
"CVB-171","03"
"CVB-172","02"
"CVB-173","05"
"CVB-174","06"
"CVB-175","07"
"CVB-176","07"
"CVB-177","02"
"CVB-178","02"
"CVB-179","05"
"CVB-180","06"
"CVB-181","02"
"CVB-182","02"
"CVB-183","05"
"CVB-184","07"
"CVB-185","05"
"CVB-186","01"
"CVB-187","04"
"CVB-188","04"
"CVB-189","08"
"CVB-190","04"
"CVB-191","01"
"CVB-192","07"
"CVB-193","04"
"CVB-194","07"
"CVB-195","03"
"CVB-196","07"
"CVB-197","04"
"CVB-198","06"
"CVB-199","05"
"CVB-200","01"
"CVB-201","03"
"CVB-202","06"
"CVB-203","04"
"CVB-204","06"
"CVB-205","06"
"CVB-206","07"
"CVB-207","02"
"CVB-208","05"
"CVB-209","05"
"CVB-210","07"
"CVB-211","03"
"CVB-212","04"
"CVB-213","04"
"CVB-214","08"
"CVB-215","03"
"CVB-216","06"
"CVB-217","01"
"CVB-218","08"
"CVB-219","05"
"CVB-220","06"
"CVB-221","03"
"CVB-222","07"
"CVB-223","04"
"CVB-224","02"
"CVB-225","04"
"CVB-226","03"
"CVB-227","01"
"CVB-228","03"
"CVB-229","06"
"CVB-230","05"
"CVB-231","08"
"CVB-232","08"
"CVB-233","06"
"CVB-234","01"
"CVB-235","03"
"CVB-236","05"
"CVB-237","07"
"CVB-238","07"
"CVB-239","03"
"CVB-240","08"
"CVB-241","02"
"CVB-242","06"
"CVB-243","05"
"CVB-244","07"
"CVB-245","07"
"CVB-246","05"
"CVB-247","06"
"CVB-248","04"
"CVB-249","04"
"CVB-250","07"
"CVB-251","06"
"CVB-252","01"
"CVB-253","04"
"CVB-254","07"
"CVB-255","06"
"CVB-256","08"
"CVB-257","07"
"CVB-258","03"
"CVB-259","06"
"CVB-260","03"
"CVB-261","04"
"CVB-262","04"
"CVB-263","06"
"CVB-264","06"
"CVB-265","07"
"CVB-266","06"
"CVB-267","07"
"CVB-268","01"
"CVB-269","06"
"CVB-270","02"
"CVB-271","07"
"CVB-272","08"
"CVB-273","03"
"CVB-274","03"
"CVB-275","01"
"CVB-276","08"
"CVB-277","05"
"CVB-278","04"
"CVB-279","06"
"CVB-280","07"
"CVB-281","01"
"CVB-282","08"
"CVB-283","03"
"CVB-284","03"
"CVB-285","03"
"CVB-286","06"
"CVB-287","06"
"CVB-288","02"
"CVB-289","06"
"CVB-290","07"
"CVB-291","07"
"CVB-292","04"
"CVB-293","06"
"CVB-294","05"
"CVB-295","01"
"CVB-296","05"
"CVB-297","01"
"CVB-298","05"
"CVB-299","06"
"CVB-300","01"
"CVB-301","01"
"CVB-302","07"
"CVB-303","01"
"CVB-304","07"
"CVB-305","07"
"CVB-306","07"
"CVB-307","03"
"CVB-308","01"
"CVB-309","05"
"CVB-310","07"
"CVB-311","05"
"CVB-312","06"
"CVB-313","08"
"CVB-314","03"
"CVB-315","02"
"CVB-316","03"
"CVB-317","03"
"CVB-318","02"
"CVB-319","05"
"CVB-320","03"
"CVB-321","02"
"CVB-322","05"
"CVB-323","06"
"CVB-324","04"
"CVB-325","04"
"CVB-326","03"
"CVB-327","02"
"CVB-328","04"
"CVB-329","03"
"CVB-330","05"
"CVB-331","08"
"CVB-332","03"
"CVB-333","06"
"CVB-334","06"
"CVB-335","08"
"CVB-336","07"
"CVB-337","05"
"CVB-338","03"
"CVB-339","06"
"CVB-340","03"
"CVB-341","04"
"CVB-342","06"
"CVB-343","04"
"CVB-344","08"
"CVB-345","06"
"CVB-346","07"
"CVB-347","04"
"CVB-348","06"
"CVB-349","06"
"CVB-350","05"
"CVB-351","07"
"CVB-352","01"
"CVB-353","08"
"CVB-354","05"
"CVB-355","05"
"CVB-356","04"
"CVB-357","04"
"CVB-358","05"
"CVB-359","08"
"CVB-360","05"
"CVB-361","03"
"CVB-362","06"
"CVB-363","02"
"CVB-364","01"
"CVB-365","02"
"CVB-366","02"
"CVB-367","01"
"CVB-368","02"
"CVB-369","07"
"CVB-370","01"
"CVB-371","08"
"CVB-372","03"
"CVB-373","06"
"CVB-374","07"
"CVB-375","05"
"CVB-376","01"
"CVB-377","05"
"CVB-378","03"
"CVB-379","07"
"CVB-380","05"
"CVB-381","04"
"CVB-382","04"
"CVB-383","08"
"CVB-384","07"
"CVB-385","04"
"CVB-386","05"
"CVB-387","08"
"CVB-388","02"
"CVB-389","02"
"CVB-390","01"
"CVB-391","07"
"CVB-392","04"
"CVB-393","02"
"CVB-394","08"
"CVB-395","07"
"CVB-396","07"
"CVB-397","03"
"CVB-398","06"
"CVB-399","08"
"CVB-400","05"
"CVB-401","01"
"CVB-402","08"
"CVB-403","05"
"CVB-404","05"
"CVB-405","02"
"CVB-406","02"
"CVB-407","01"
"CVB-408","03"
"CVB-409","05"
"CVB-410","07"
"CVB-411","08"
"CVB-412","04"
"CVB-413","03"
"CVB-414","02"
"CVB-415","05"
"CVB-416","08"
"CVB-417","08"
"CVB-418","05"
"CVB-419","02"
"CVB-420","01"
"CVB-421","07"
"CVB-422","02"
"CVB-423","01"
"CVB-424","01"
"CVB-425","04"
"CVB-426","06"
"CVB-427","01"
"CVB-428","03"
"CVB-429","07"
"CVB-430","02"
"CVB-431","07"
"CVB-432","03"
"CVB-433","07"
"CVB-434","07"
"CVB-435","04"
"CVB-436","07"
"CVB-437","04"
"CVB-438","01"
"CVB-439","04"
"CVB-440","01"
"CVB-441","06"
"CVB-442","05"
"CVB-443","07"
"CVB-444","05"
"CVB-445","07"
"CVB-446","05"
"CVB-447","04"
"CVB-448","02"
"CVB-449","04"
"CVB-450","03"
"CVB-451","02"
"CVB-452","07"
"CVB-453","03"
"CVB-454","08"
"CVB-455","04"
"CVB-456","05"
"CVB-457","07"
"CVB-458","01"
"CVB-459","07"
"CVB-460","07"
"CVB-461","01"
"CVB-462","02"
"CVB-463","03"
"CVB-464","07"
"CVB-465","01"
"CVB-466","05"
"CVB-467","08"
"CVB-468","01"
"CVB-469","03"
"CVB-470","04"
"CVB-471","03"
"CVB-472","08"
"CVB-473","05"
"CVB-474","04"
"CVB-475","03"
"CVB-476","04"
"CVB-477","07"
"CVB-478","06"
"CVB-479","06"
"CVB-480","01"
"CVB-481","07"
"CVB-482","06"
"CVB-483","03"
"CVB-484","01"
"CVB-485","04"
"CVB-486","06"
"CVB-487","01"
"CVB-488","07"
"CVB-489","01"
"CVB-490","05"
"CVB-491","06"
"CVB-492","03"
"CVB-493","07"
"CVB-494","02"
"CVB-495","03"
"CVB-496","04"
"CVB-497","08"
"CVB-498","08"
"CVB-499","06"
"CVB-500","06"
"CVB-501","03"
"CVB-502","01"
"CVB-503","06"
"CVB-504","03"
"CVB-505","05"
"CVB-506","05"
"CVB-507","07"
"CVB-508","01"
"CVB-509","05"
"CVB-510","01"
"CVB-511","06"
"CVB-512","05"
"CVB-513","01"
"CVB-514","07"
"CVB-515","04"
"CVB-516","01"
"CVB-517","06"
"CVB-518","05"
"CVB-519","05"
"CVB-520","02"
"CVB-521","05"
"CVB-522","07"
"CVB-523","06"
"CVB-524","07"
"CVB-525","03"
"CVB-526","03"
"CVB-527","01"
"CVB-528","06"
"CVB-529","04"
"CVB-530","04"
"CVB-531","08"
"CVB-532","08"
"CVB-533","03"
"CVB-534","04"
"CVB-535","05"
"CVB-536","01"
"CVB-537","04"
"CVB-538","06"
