"caja"	"mesa"	"ot_id"	"ot_id-2"
"CVB-001"	"06"	48148	48148
"CVB-002"	"00"	48351	
"CVB-003"	"06"	48148	48148
"CVB-004"	"01"	48346	48346
"CVB-005"	"06"	48148	48148
"CVB-006"	"06"	48148	48148
"CVB-007"	"02"	48116	48116
"CVB-008"	"02"	48116	48116
"CVB-009"	"02"	48116	48116
"CVB-010"	"02"	48116	48116
"CVB-011"	"02"	48116	48116
"CVB-012"	"02"	48116	48116
"CVB-013"	"07"	48181	48181
"CVB-014"	"08"	48182	48182
"CVB-015"	"04"	48348	48348
"CVB-016"	"00"	48349	
"CVB-017"	"00"	48350	
"CVB-018"	"03"	48119	48119
"CVB-019"	"05"	48120	48120
"CVB-020"	"06"	48148	48148
"CVB-021"	"06"	48148	48148
"CVB-024"	"06"	48148	48148
"CVB-022"	"06"	48148	48148
"CVB-023"	"06"	48148	48148
"CVB-026"	"06"	48148	48148
"CVB-025"	"06"	48148	48148
"CVB-027"	"06"	48148	48148
"CVB-029"	"06"	48148	48148
"CVB-028"	"06"	48148	48148
"CVB-030"	"06"	48148	48148
"CVB-033"	"06"	48148	48148
"CVB-031"	"06"	48148	48148
"CVB-032"	"06"	48148	48148
"CVB-034"	"00"	48350	
